caff_unit,carb_unit,weight,fat_gm,caff_value,fat_value,pro_unit,carb_value,carb_gm,pro_gm,pro_value,measure,caff_gm,fat_unit,id
mg,g,85.0,13.54,0,11.51,g,0.18,0.21,26.18,22.25,3.0 oz,0.0,g,23105
mg,g,28.35,11.67,--,3.31,g,0.00,0.0,19.6,5.56,1.0 oz,--,g,13883
mg,g,9.4,27.0,0,2.54,g,5.26,56.0,12.5,1.18,1.0 scoop,0.0,g,03849
mg,g,18.0,1.0,0,0.18,g,1.38,7.66,15.69,2.82,1.0 tbsp,0.0,g,01186
mg,g,168.0,0.5,0,0.84,g,15.42,9.18,3.11,5.22,1.0 cup,0.0,g,11010
mg,g,28.0,0.0,--,0.00,g,2.18,7.8,81.1,22.71,1.0 oz,--,g,01173
mg,g,109.0,71.97,0,78.45,g,15.11,13.86,9.17,10.00,"1.0 cup, chopped",0.0,g,12142
mg,g,28.35,4.23,0,1.20,g,12.29,43.34,13.36,3.79,1.0 oz,0.0,g,28397
mg,g,85.0,3.97,--,3.37,g,0.00,0.0,20.52,17.44,3.0 oz,--,g,05716
mg,g,135.0,51.3,0,69.26,g,30.90,22.89,20.06,27.08,1.0 cup,0.0,g,12538
mg,g,85.0,16.71,--,14.20,g,0.00,0.0,24.29,20.65,3.0 oz,--,g,10031
mg,g,85.0,11.64,0,9.89,g,0.31,0.36,18.99,16.14,3.0 oz,0.0,g,23108
mg,g,28.35,12.83,--,3.64,g,0.00,0.0,19.48,5.52,1.0 oz,--,g,13885
mg,g,9.6,26.0,0,2.50,g,4.99,52.0,12.9,1.24,1.0 scoop,0.0,g,33866
